Source Account,Date,Compound,Positive,Neutral,Negative,Text
@BBC,Wed Feb 07 14:32:05 +0000 2018,0.5574,0.194,0.806,0.0,"? From @MichaelJackson's ranch to @Courtney Love's @Nirvana rights, here are nine treasured possessions that stars… https://t.co/iCIduWzjaj"
@BBC,Wed Feb 07 14:18:40 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCOne: This is going to be EPIC.

#Troy: Fall of a City. Starts 17th February on @BBCOne. https://t.co/oZa9dQTqK9"
@BBC,Wed Feb 07 14:00:11 +0000 2018,0.4588,0.3,0.7,0.0,"Welcome to Monowi, Nebraska. 

Population 1.
? https://t.co/bQ2QoCKWkw https://t.co/PVAS8iLu5w"
@BBC,Wed Feb 07 13:30:07 +0000 2018,0.0,0.0,1.0,0.0,??Some of these little penguins are seeing snow for the first time! https://t.co/WIoqhmOamm
@BBC,Wed Feb 07 13:15:33 +0000 2018,0.7351,0.228,0.772,0.0,"RT @TWBBC: Zebro here could soon revolutionise search and rescue efforts. Working as part of a swarm, these easy to produce robots can comm…"
@BBC,Wed Feb 07 13:00:06 +0000 2018,0.0,0.0,1.0,0.0,The #WinterOlympics has provided countless memorable moments over the years. Put your knowledge of them to the test… https://t.co/DohJknUpmF
@BBC,Wed Feb 07 12:30:03 +0000 2018,0.4926,0.166,0.834,0.0,"??? Think you can do better than the England women? 

Sign up for the #FAPeoplesCup!
? https://t.co/Z3G0muPU0e https://t.co/1JeLhsf666"
@BBC,Wed Feb 07 12:00:08 +0000 2018,0.0,0.0,1.0,0.0,"? Experts have worked out the carbon footprint of your sarnie and it could be time to give up your daily BLT.
?… https://t.co/mNfTyIYgIG"
@BBC,Wed Feb 07 11:33:04 +0000 2018,0.4003,0.161,0.839,0.0,"? ? @george_ezra took over @BBCR1 and played tracks from @NiallOfficial, @Camila_Cabello and @DUALIPA!

?Have a lis… https://t.co/XJCqTB4qLt"
@BBC,Wed Feb 07 11:26:32 +0000 2018,0.128,0.07,0.93,0.0,"RT @BBCNorthAmerica: Space X's Elon Musk has launched his new rocket, the #FalconHeavy, from the Kennedy Space Center in Florida

https://t…"
@BBC,Wed Feb 07 11:03:03 +0000 2018,0.0,0.0,1.0,0.0,"Scientists have finally put a face to Cheddar Man, Britain's oldest complete skeleton from 10,000 years ago.… https://t.co/AdICoObSyh"
@BBC,Wed Feb 07 10:04:58 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbcarts: Filmed in 31 countries on six continents over three years, epic 9-hour series #Civilisations comes to @BBCTwo on 1st March. Pr…"
@BBC,Wed Feb 07 10:04:46 +0000 2018,0.0,0.0,1.0,0.0,"??@CraigDavid, @NiallOfficial, @WolfAliceMusic and percussionist @DameEvelyn have joined the line-up for the BBC's… https://t.co/Q3HgX99mQn"
@BBC,Wed Feb 07 09:54:53 +0000 2018,0.5719,0.217,0.783,0.0,"??US entrepreneur Elon Musk has successfully launched his new rocket, the Falcon Heavy, from the Kennedy Space Cent… https://t.co/pJyK2t05OJ"
@BBC,Wed Feb 07 09:00:04 +0000 2018,0.0,0.0,1.0,0.0,"What's a statue of an American president doing in Manchester &amp; why are Hull telephone boxes cream? 

Three puzzling… https://t.co/m6lFFjtN0P"
@BBC,Wed Feb 07 08:56:48 +0000 2018,0.0,0.0,1.0,0.0,RT @BBCNews: Cheddar Man: DNA shows early Brit had dark skin https://t.co/h4oMUWV0qg
@BBC,Wed Feb 07 08:56:27 +0000 2018,0.4574,0.187,0.813,0.0,"RT @bbc5live: Help the hedgehog! A new report says the population is ?? 

#5liveBreakfast https://t.co/0a0C3ly4SX"
@BBC,Wed Feb 07 08:54:57 +0000 2018,0.0,0.0,1.0,0.0,RT @bbceurovision: Today UK! Today our UK #Eurovision act for 2018 will be chosen. ????? #EurovisionYouDecide 7.30pm @BBCTwo https://t.co/W…
@BBC,Wed Feb 07 08:40:02 +0000 2018,0.0,0.0,1.0,0.0,"17-years-old and an undertaker, but why? ?
https://t.co/Vw0xsnuJJH"
@BBC,Wed Feb 07 08:20:03 +0000 2018,-0.296,0.0,0.913,0.087,? Clues to the state of your mental health may be hiding in plain sight – in the tweets you send and the Facebook u… https://t.co/jWHdacpPi8
@BBC,Wed Feb 07 08:00:08 +0000 2018,0.0,0.137,0.684,0.179,"When a friend is struggling with their mental health it can be hard to know what to say. 
#BBCLikeMinds https://t.co/uX4mxgf6Io"
@BBC,Wed Feb 07 07:38:03 +0000 2018,0.5423,0.251,0.637,0.112,"Truly vibrant red was elusive for many years: until a mysterious dye was discovered. 

? This is how a crushed bug… https://t.co/fiStAOHSXt"
@BBC,Tue Feb 06 19:30:18 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbccomedy: Oh.. by the way, #InsideNo9 will return for a fifth series next year! ?????9?? https://t.co/iMBDssos9a https://t.co/cl2L70OD…"
@BBC,Tue Feb 06 19:30:05 +0000 2018,0.0,0.0,1.0,0.0,"Know your Suffragettes from your Suffragists, your WSPU from your NUWSS? 

Take this Pankhurst quiz to find out.
?… https://t.co/ykQrg4RzDB"
@BBC,Tue Feb 06 19:27:31 +0000 2018,0.3612,0.094,0.906,0.0,"RT @BBCScotland: Kirsten’s dad Stuart Adamson took his own life in 2001.

She has written her dad a letter to thank him for his music. http…"
@BBC,Tue Feb 06 19:26:49 +0000 2018,0.4389,0.182,0.818,0.0,"RT @bbcthree: ""I love my dad, but sometimes his rules drive me crazy!"" https://t.co/Tk0xeQxa6i"
@BBC,Tue Feb 06 19:25:21 +0000 2018,-0.7096,0.102,0.618,0.28,"RT @BBCNewsbeat: Eight members of the Man United team died in the Munich air disaster, 60 years ago today https://t.co/xPI8ydPFg4"
@BBC,Tue Feb 06 19:25:15 +0000 2018,-0.5719,0.0,0.812,0.188,"RT @BBCTwo: ""What's a VHS?"" And other terrifying phrases, in tonight's series finale of #InsideNo9, 10pm. ??
https://t.co/lilhVPMOYF"
@BBC,Tue Feb 06 19:00:05 +0000 2018,0.0,0.0,1.0,0.0,Inside Denmark's massive Lego House. https://t.co/3m5loPSZpi
@BBC,Tue Feb 06 18:30:03 +0000 2018,0.8398,0.428,0.572,0.0,? The annual #Sapporo snow festival in Japan has some pretty cool (?) ice sculptures! https://t.co/AI4gfWQ23l
@BBC,Tue Feb 06 18:00:06 +0000 2018,-0.34,0.098,0.748,0.154,"? Wage war on the cold with fortifying tagines, hearty stews and comfort food. 

These recipes make the most of Feb… https://t.co/nfaSdt1eKH"
@BBC,Tue Feb 06 17:30:08 +0000 2018,0.0,0.0,1.0,0.0,"?? HONK HONK! 

When you just can't get a word in...
#AnimalsWithCameras https://t.co/mFUZec36Ne"
@BBC,Tue Feb 06 17:07:56 +0000 2018,0.4184,0.148,0.852,0.0,"RT @mixital: ?New #DoctorWho Writing Challenge!?
Write a story featuring Rose!
 
Share it with us here: https://t.co/zW42ZnvJnc 

#BilliePi…"
@BBC,Tue Feb 06 17:06:24 +0000 2018,0.4588,0.158,0.842,0.0,"RT @bbcarts: 'Bewildering, breathtaking' Brighton Pavilion is just one of the destinations for @andrewgrahamdix in tonight's #RoyalCollecti…"
@BBC,Tue Feb 06 17:03:10 +0000 2018,0.0,0.0,1.0,0.0,"???? A selection of some of the most striking news photographs taken around the world this week.
?… https://t.co/MyW196KSCV"
@BBC,Tue Feb 06 16:47:54 +0000 2018,0.2263,0.106,0.894,0.0,"?@Drake surprised a young student at the University of Miami with a $50,000 (£36,000) scholarship after reading one… https://t.co/fHgUoq6QTB"
@BBC,Tue Feb 06 16:42:26 +0000 2018,0.5719,0.144,0.856,0.0,"RT @BBCSSO: One hundred years ago today women won the right to vote, we’re remembering our suffragettes with a new choral work, written by…"
@BBC,Tue Feb 06 16:39:58 +0000 2018,0.5705,0.22,0.687,0.093,"RT @BBCScotland: The Scottie Dogs have got some sound advice for Internet Safety Day:

""Don't trust anyone called Honest Jim!""

See more fr…"
@BBC,Tue Feb 06 15:12:23 +0000 2018,-0.802,0.0,0.687,0.313,"#100years since women were first given the vote, the battle for equality rages on. Meet the women fighting for fema… https://t.co/KUknfU9LJk"
@BBC,Tue Feb 06 14:58:21 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbcthree: ""Do you even know any black people?"" https://t.co/1CjD1obs4K"
@BBC,Tue Feb 06 14:02:04 +0000 2018,0.0,0.0,1.0,0.0,"?? ‘I was delivered by a man in a dinner jacket’.

10 things we learned from @JackWhitehall’s #DesertIslandDiscs.… https://t.co/hnBdy7NxL5"
@BBC,Tue Feb 06 13:30:04 +0000 2018,-0.7152,0.0,0.724,0.276,"Eight things more likely to kill you in 1970s Britain than today. 
? https://t.co/zIDtYhFO9L https://t.co/e5CwtBDxNc"
@BBC,Tue Feb 06 13:00:37 +0000 2018,0.8402,0.31,0.69,0.0,"RT @BBCr4today: ""They will have to choose between giving us freedom or giving us death.""

Joanna Lumley reads this extract from Emmeline Pa…"
@BBC,Tue Feb 06 13:00:05 +0000 2018,0.0,0.0,1.0,0.0,"? #SportRelief is back and for 2018 is asking the nation to come together to walk one billion steps a day, every da… https://t.co/5nHttl86IS"
@BBC,Tue Feb 06 12:30:03 +0000 2018,0.5859,0.322,0.678,0.0,"? How this man's bottom helped win WW1.
#QI https://t.co/vbeU2IKbxP"
@BBC,Tue Feb 06 12:00:11 +0000 2018,0.1139,0.088,0.912,0.0,"?? Seven ways that other nations deal with winter weather without falling to pieces. 
? https://t.co/8XUZNxQc1Y https://t.co/rfzXWF2lPI"
@BBC,Tue Feb 06 11:57:10 +0000 2018,0.4184,0.122,0.878,0.0,"RT @BBCBreakfast: ?? New BBC weather graphics alert!! ?
Watch @carolkirkwood give you a sneak peek of the new look @BBCweather service whic…"
@BBC,Tue Feb 06 11:53:33 +0000 2018,-0.4515,0.0,0.881,0.119,"RT @bbcideas: What does it mean to be a feminist? When was the term first used? A brief history #100years
(Feminism: The fight for equality…"
